Date, Station, CAPE, CINS
 00Z 06 May 2015,  72293,  0.00,  0.00
 12Z 06 May 2015,  72293,  18.98,  -0.48
 00Z 07 May 2015,  72293,  22.61,  0.00
 12Z 07 May 2015,  72293,  54.96,  0.00
 00Z 08 May 2015,  72293,  56.67,  0.00
 12Z 08 May 2015,  72293,  74.07,  -4.56
 00Z 09 May 2015,  72293,  31.74,  -3.66
 12Z 09 May 2015,  72293,  8.95,  -0.05
 00Z 10 May 2015,  72293,  0.00,  0.00
 00Z 11 May 2015,  72293,  0.00,  0.00
 12Z 11 May 2015,  72293,  0.00,  0.00
 00Z 12 May 2015,  72293,  0.00,  0.00
 12Z 12 May 2015,  72293,  0.02,  0.00
 00Z 13 May 2015,  72293,  0.00,  0.00
 12Z 13 May 2015,  72293,  4.95,  -0.02
 00Z 14 May 2015,  72293,  0.00,  0.00
 12Z 14 May 2015,  72293,  16.75,  -0.91
 00Z 15 May 2015,  72293,  103.64,  0.00
 12Z 15 May 2015,  72293,  158.44,  -0.06
 00Z 16 May 2015,  72293,  11.58,  -4.18
 12Z 16 May 2015,  72293,  10.20,  0.00
 00Z 17 May 2015,  72293,  0.00,  0.00
 12Z 17 May 2015,  72293,  0.00,  0.00
 00Z 18 May 2015,  72293,  5.85,  0.00
 12Z 18 May 2015,  72293,  0.92,  -6.34
 00Z 19 May 2015,  72293,  10.63,  0.00
 12Z 19 May 2015,  72293,  13.73,  -0.11
 00Z 20 May 2015,  72293,  0.00,  0.00
 12Z 20 May 2015,  72293,  0.40,  -0.60
 00Z 21 May 2015,  72293,  0.00,  0.00
 12Z 21 May 2015,  72293,  24.74,  0.00
 00Z 22 May 2015,  72293,  58.40,  0.00
 12Z 22 May 2015,  72293,  102.30,  -0.29
 00Z 23 May 2015,  72293,  42.92,  -0.33
 12Z 23 May 2015,  72293,  11.76,  -0.02
 00Z 24 May 2015,  72293,  0.00,  0.00
 12Z 24 May 2015,  72293,  26.57,  0.00
 00Z 25 May 2015,  72293,  0.00,  0.00
 12Z 25 May 2015,  72293,  1.17,  0.00
 00Z 26 May 2015,  72293,  0.00,  0.00
 12Z 26 May 2015,  72293,  0.00,  0.00
 00Z 27 May 2015,  72293,  0.00,  0.00
 12Z 27 May 2015,  72293,  0.00,  0.00
 00Z 28 May 2015,  72293,  0.00,  0.00
 12Z 28 May 2015,  72293,  0.00,  0.00
 00Z 29 May 2015,  72293,  0.00,  0.00
