Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
00:00 09 Feb 2015,  72293,  6.19,  3.48,  3.13,  48.61,  16.30,  40.00,  0.00,  0.00,  0.00,  286.09,  20.28  
12:00 09 Feb 2015,  72293,  1.77,  2.55,  2.25,  143.60,  15.50,  47.40,  0.00,  0.00,  0.00,  286.54,  20.85  
00:00 10 Feb 2015,  72293,  10.89,  3.69,  3.46,  48.99,  -35.30,  18.80,  0.00,  0.00,  0.00,  281.53,  9.51  
12:00 10 Feb 2015,  72293,  11.33,  8.11,  8.00,  49.01,  -31.05,  13.05,  0.00,  0.00,  0.00,  279.37,  8.90  
00:00 11 Feb 2015,  72293,  10.46,  5.54,  5.38,  35.98,  -14.70,  23.20,  0.00,  0.00,  0.00,  278.23,  7.69  
12:00 11 Feb 2015,  72293,  12.31,  10.38,  10.19,  33.99,  20.20,  0.00,  0.00,  0.00,  269.67,  6.69  
00:00 12 Feb 2015,  72293,  13.29,  10.25,  10.25,  60.00,  -26.10,  20.00,  0.00,  0.00,  0.00,  266.14,  8.45  
12:00 12 Feb 2015,  72293,  12.97,  14.01,  13.86,  18.98,  22.80,  0.00,  0.00,  0.00,  260.86,  4.21  
00:00 13 Feb 2015,  72293,  10.04,  9.67,  9.45,  21.99,  32.60,  0.00,  0.00,  0.00,  264.93,  6.66  
12:00 13 Feb 2015,  72293,  11.43,  12.69,  12.70,  54.99,  -30.37,  28.20,  0.00,  0.00,  0.00,  263.37,  8.16  
00:00 14 Feb 2015,  72293,  10.82,  9.96,  9.83,  71.99,  8.10,  30.40,  0.00,  0.00,  0.00,  263.95,  10.41  
12:00 14 Feb 2015,  72293,  9.66,  10.68,  10.54,  52.00,  4.50,  33.00,  0.00,  0.00,  0.00,  267.48,  10.51  
00:00 15 Feb 2015,  72293,  6.04,  7.80,  7.77,  25.00,  17.90,  40.60,  0.00,  0.00,  0.00,  268.07,  16.62  
12:00 15 Feb 2015,  72293,  6.81,  9.66,  9.60,  42.00,  10.10,  39.40,  0.00,  0.00,  0.00,  269.97,  15.30  
00:00 16 Feb 2015,  72293,  9.44,  10.76,  10.62,  39.01,  6.50,  32.20,  0.00,  0.00,  0.00,  267.27,  10.45  
12:00 16 Feb 2015,  72293,  7.38,  9.83,  9.67,  26.01,  1.90,  37.40,  0.00,  0.00,  0.00,  279.10,  11.96  
