Date, Station, CAPE, CINS
 02 Oct 2015,  72293,  13.70,  0.00
 03 Oct 2015,  72293,  0.00,  0.00
 04 Oct 2015,  72293,  99.33,  0.00
 05 Oct 2015,  72293,  94.59,  -6.01
 06 Oct 2015,  72293,  0.25,  -42.42
 07 Oct 2015,  72293,  10.60,  -105.29
 08 Oct 2015,  72293,  0.00,  0.00
 09 Oct 2015,  72293,  0.00,  0.00
 10 Oct 2015,  72293,  0.00,  0.00
 11 Oct 2015,  72293,  0.00,  0.00
 12 Oct 2015,  72293,  0.00,  0.00
 13 Oct 2015,  72293,  119.31,  -199.84
 14 Oct 2015,  72293,  994.23,  -187.33
 15 Oct 2015,  72293,  900.13,  -0.53
 16 Oct 2015,  72293,  484.61,  0.00
 17 Oct 2015,  72293,  234.08,  -0.18
 18 Oct 2015,  72293,  935.45,  0.00
 19 Oct 2015,  72293,  25.88,  -0.84
 20 Oct 2015,  72293,  277.85,  -5.18
 21 Oct 2015,  72293,  299.99,  -99.74
 22 Oct 2015,  72293,  35.58,  -128.91
 23 Oct 2015,  72293,  2.59,  -334.45
 24 Oct 2015,  72293,  0.00,  0.00
 25 Oct 2015,  72293,  0.00,  0.00
 26 Oct 2015,  72293,  0.00,  0.00
 27 Oct 2015,  72293,  0.00,  0.00
 28 Oct 2015,  72293,  0.00,  0.00
 29 Oct 2015,  72293,  653.30,  0.00
 30 Oct 2015,  72293,  0.00,  0.00
 31 Oct 2015,  72293,  0.00,  0.00
 01 Nov 2015,  72293,  0.00,  0.00
 02 Nov 2015,  72293,  0.00,  0.00
 03 Nov 2015,  72293,  50.91,  -2.83
 04 Nov 2015,  72293,  34.43,  -64.78
 05 Nov 2015,  72293,  0.00,  0.00
 06 Nov 2015,  72293,  0.00,  0.00
 07 Nov 2015,  72293,  0.00,  0.00
 08 Nov 2015,  72293,  0.00,  0.00
 09 Nov 2015,  72293,  4.27,  -2.82
 10 Nov 2015,  72293,  87.23,  -8.35
 11 Nov 2015,  72293,  0.00,  0.00
 12 Nov 2015,  72293,  0.00,  0.00
 13 Nov 2015,  72293,  0.00,  0.00
 14 Nov 2015,  72293,  0.00,  0.00
 15 Nov 2015,  72293,  0.00,  0.00
 16 Nov 2015,  72293,  227.67,  -7.59
 17 Nov 2015,  72293,  0.00,  0.00
 18 Nov 2015,  72293,  0.00,  0.00
 19 Nov 2015,  72293,  0.00,  0.00
 20 Nov 2015,  72293,  0.00,  0.00
 21 Nov 2015,  72293,  0.00,  0.00
 22 Nov 2015,  72293,  0.00,  0.00
 23 Nov 2015,  72293,  0.00,  0.00
 24 Nov 2015,  72293,  0.00,  0.00
 25 Nov 2015,  72293,  12.55,  -1.24
 26 Nov 2015,  72293,  3.70,  -15.73
 27 Nov 2015,  72293,  25.05,  -10.76
 28 Nov 2015,  72293,  2.63,  -37.75
 29 Nov 2015,  72293,  0.00,  0.00
 30 Nov 2015,  72293,  0.00,  0.00
 01 Dec 2015,  72293,  0.00,  0.00
 02 Dec 2015,  72293,  0.00,  0.00
 03 Dec 2015,  72293,  0.00,  0.00
 04 Dec 2015,  72293,  0.00,  0.00
 05 Dec 2015,  72293,  0.00,  0.00
 06 Dec 2015,  72293,  0.00,  0.00
 07 Dec 2015,  72293,  0.00,  0.00
 08 Dec 2015,  72293,  0.00,  0.00
 09 Dec 2015,  72293,  0.00,  0.00
 10 Dec 2015,  72293,  0.00,  0.00
 11 Dec 2015,  72293,  86.87,  -0.88
 12 Dec 2015,  72293,  0.00,  0.00
 13 Dec 2015,  72293,  0.00,  0.00
 14 Dec 2015,  72293,  39.86,  -4.91
 15 Dec 2015,  72293,  0.00,  0.00
 16 Dec 2015,  72293,  0.00,  0.00
 17 Dec 2015,  72293,  0.00,  0.00
 18 Dec 2015,  72293,  0.00,  0.00
 19 Dec 2015,  72293,  0.00,  0.00
 20 Dec 2015,  72293,  39.40,  -4.35
 21 Dec 2015,  72293,  0.00,  0.00
 22 Dec 2015,  72293,  0.01,  -3.91
 23 Dec 2015,  72293,  8.71,  -0.09
 24 Dec 2015,  72293,  0.32,  -17.83
 25 Dec 2015,  72293,  37.18,  -11.11
 26 Dec 2015,  72293,  0.00,  0.00
 27 Dec 2015,  72293,  0.00,  0.00
 28 Dec 2015,  72293,  0.00,  0.00
 29 Dec 2015,  72293,  0.00,  0.00
 30 Dec 2015,  72293,  0.00,  0.00
 31 Dec 2015,  72293,  0.00,  0.00
